Make,Month,Sales
Mercedes-Benz,March,30557
Mercedes-Benz,April,25631
Mercedes-Benz,May,25631
Mercedes-Benz,June,29201
Mercedes-Benz,July,27490
Mercedes-Benz,August,30144
Mercedes-Benz,September,32002
Mercedes-Benz,October,32130
Mercedes-Benz,November,35954
Mercedes-Benz,December,35279
Mini,January,2457
Mini,February,2679
Mini,March,3769
Mini,April,2621
Mini,May,2822
Mini,June,3235
Mini,July,2827
Mini,August,3911
Mini,September,3505
Mini,October,2962
Mini,November,3067
Mini,December,2310
Mitsubishi,January,8711
Mitsubishi,February,13760
Mitsubishi,March,19599
Mitsubishi,April,6963
Mitsubishi,May,9750
Mitsubishi,June,12317
Mitsubishi,July,8613
Mitsubishi,August,8139
Mitsubishi,September,7722
Mitsubishi,October,7372
Mitsubishi,November,8188
Mitsubishi,December,9915
Nissan,January,90439
Nissan,February,103735
Nissan,March,137362
Nissan,April,87207
Nissan,May,121570
Nissan,June,113665
Nissan,July,90220
Nissan,August,118045
Nissan,September,94213
Nissan,October,94417
Nissan,November,83562
Nissan,December,93538
Porsche,January,5419
Porsche,February,4826
Porsche,March,4779
Porsche,April,5018
Porsche,May,5010
Porsche,June,5205
Porsche,July,4956
Porsche,August,4636
Porsche,September,5213
Porsche,October,5447
Porsche,November,6326
Porsche,December,4733
Ram,January,39649
Ram,February,45542
Ram,March,51822
Ram,April,53811
Ram,May,67117
Ram,June,75227
Ram,July,58947
Ram,August,66021
Ram,September,54232
Ram,October,62777
Ram,November,65101
Ram,December,62777
Smart,January,83
Smart,February,58
Smart,March,90
Smart,April,85
Smart,May,85
Smart,June,74
Smart,July,56
Smart,August,74
Smart,September,
Smart,October,
Smart,November,
Smart,December,
Subaru,January,46072
Subaru,February,49081
Subaru,March,61601
Subaru,April,57288
Subaru,May,63972
Subaru,June,61511
Subaru,July,64106
Subaru,August,70039
Subaru,September,51659
Subaru,October,55531
Subaru,November,56893
Subaru,December,62364
Tesla,January,8325
Tesla,February,7650
Tesla,March,14625
Tesla,April,11925
Tesla,May,16350
Tesla,June,25025
Tesla,July,15650
Tesla,August,16025
Tesla,September,23025
Tesla,October,18612
Tesla,November,19301
Tesla,December,18612
Toyota,January,138601
Toyota,February,152626
Toyota,March,185698
Toyota,April,162506
Toyota,May,197637
Toyota,June,179305
Toyota,July,184179
Toyota,August,218403
Toyota,September,150796
Toyota,October,165644
Toyota,November,177764
Toyota,December,172047
Volkswagen,January,23074
Volkswagen,February,25706
Volkswagen,March,37092
Volkswagen,April,31309
Volkswagen,May,35702
Volkswagen,June,31725
Volkswagen,July,31188
Volkswagen,August,35412
Volkswagen,September,26947
Volkswagen,October,28072
Volkswagen,November,29218
Volkswagen,December,27877
Volvo,January,5854
Volvo,February,6635
Volvo,March,9569
Volvo,April,8367
Volvo,May,9761
Volvo,June,9934
Volvo,July,8795
Volvo,August,9187
Volvo,September,9323
Volvo,October,8807
Volvo,November,9635
Volvo,December,12360
